
,Date,F1_CURR_FLW/PV.CV,F2_CURR_FLW/PV.CV,F3_CURR_FLW/PV.CV,API_CONCEN1/PV.CV,API_CONCEN2/PV.CV,BL_CURR_WGT/PV.CV,RTD-4/XO_L1.CV,RTD-4/XO_L2.CV,RTD-4/XO_L3.CV
,9/9/21 14:35,48.02,1.48,0.51,2.86,2.14,1.54,0.96,0.03,0.01
,9/9/21 14:35,48.05,1.48,0.51,2.81,2.11,1.54,0.96,0.03,0.01
,9/9/21 14:35,48.07,1.48,0.51,2.75,2.08,1.54,0.96,0.03,0.01
,9/9/21 14:35,48.13,1.48,0.51,2.75,2.08,1.54,0.96,0.03,0.01
,9/9/21 14:35,48.18,1.48,0.51,2.75,2.08,1.54,0.96,0.03,0.01
,9/9/21 14:35,48.10,1.48,0.51,2.77,2.05,1.53,0.96,0.03,0.01
,9/9/21 14:35,48.01,1.48,0.51,2.80,2.01,1.53,0.96,0.03,0.01
,9/9/21 14:35,47.82,1.48,0.51,2.80,2.01,1.54,0.96,0.03,0.01
,9/9/21 14:35,47.62,1.48,0.51,2.80,2.01,1.54,0.96,0.03,0.01
,9/9/21 14:35,47.90,1.48,0.52,2.80,2.01,1.54,0.96,0.03,0.01
,9/9/21 14:35,48.39,1.48,0.52,2.90,2.17,1.54,0.96,0.03,0.01
,9/9/21 14:35,48.87,1.48,0.52,2.99,2.33,1.54,0.96,0.03,0.01
,9/9/21 14:35,49.14,1.48,0.52,2.99,2.33,1.54,0.96,0.03,0.01
,9/9/21 14:35,49.01,1.48,0.52,2.99,2.33,1.54,0.96,0.03,0.01
,9/9/21 14:35,48.79,1.47,0.51,2.99,2.33,1.54,0.96,0.03,0.01
,9/9/21 14:35,48.70,1.47,0.51,3.09,2.34,1.54,0.96,0.03,0.01
,9/9/21 14:35,48.60,1.48,0.51,3.19,2.34,1.54,0.96,0.03,0.01
,9/9/21 14:35,48.12,1.48,0.52,3.19,2.34,1.54,0.96,0.03,0.01
,9/9/21 14:35,47.74,1.48,0.52,3.19,2.34,1.54,0.96,0.03,0.01
,9/9/21 14:35,47.78,1.48,0.53,3.06,2.28,1.54,0.96,0.03,0.01
,9/9/21 14:35,48.12,1.48,0.53,2.92,2.22,1.53,0.96,0.03,0.01
,9/9/21 14:35,48.51,1.48,0.52,2.92,2.22,1.53,0.96,0.03,0.01
,9/9/21 14:35,48.63,1.48,0.52,2.92,2.22,1.53,0.96,0.03,0.01
,9/9/21 14:35,48.56,1.48,0.52,2.92,2.22,1.53,0.96,0.03,0.01
,9/9/21 14:35,48.32,1.48,0.52,2.92,2.22,1.53,0.96,0.03,0.01
,9/9/21 14:35,48.15,1.48,0.51,2.89,2.22,1.53,0.96,0.03,0.01
,9/9/21 14:35,48.17,1.48,0.51,2.85,2.21,1.53,0.96,0.03,0.01
,9/9/21 14:35,48.18,1.48,0.51,2.85,2.21,1.54,0.96,0.03,0.01
,9/9/21 14:35,48.09,1.48,0.51,2.85,2.21,1.53,0.96,0.03,0.01
,9/9/21 14:35,48.01,1.50,0.51,2.87,2.21,1.53,0.96,0.03,0.01
,9/9/21 14:35,48.01,1.51,0.50,2.90,2.25,1.53,0.96,0.03,0.01
,9/9/21 14:35,48.17,1.51,0.51,2.90,2.30,1.53,0.96,0.03,0.01
,9/9/21 14:35,48.29,1.51,0.51,2.90,2.30,1.53,0.96,0.03,0.01
